394.269 616.471      394.341 617.154      -0.0753406 -0.682328
253.814 391.687      254.006 392.319      -0.195742 -0.63284
-496.951 771.352      -495.345 770.998      -1.60541 0.353969
140.785 -1.63282      141.164 -0.490709      -0.377753 -1.14218
1035.92 721.935      1034.61 722.234      1.30757 -0.299143
-444.918 1767.75      -443.581 1766.24      -1.33625 1.51707
398.012 1792.81      398.249 1791.19      -0.236148 1.6172
356.106 448.651      355.727 448.725      0.379902 -0.073336
253.45 610.591      253.57 610.607      -0.122544 -0.0173094
415.64 396.083      416.188 396.328      -0.547981 -0.244986
200.86 529.64      201.854 529.548      -0.993596 0.0912351
605.424 1698.88      605.438 1697.25      -0.0142937 1.62902
623.328 1307.01      623.405 1306.05      -0.0772732 0.965599
1144.86 1049.41      1144.38 1048.78      0.472366 0.631415
2431.2 1308.8      2428.27 1307.65      2.92633 1.1504
1323.45 1203.95      1321.79 1203.15      1.65959 0.804854
1624.56 1128.87      1622.76 1128.39      1.7959 0.475084
2138.11 1193.21      2135.89 1192.37      2.22216 0.845836
261.022 360.63      262.107 361.037      -1.08494 -0.406928
1222.26 502.09      1221.66 501.936      0.591857 0.154548
1255.87 467.403      1254.92 467.833      0.952152 -0.429391
1707.56 759.382      1705.84 759.198      1.71389 0.184528
1032.34 595.221      1031.81 595.577      0.530792 -0.357149
1057.25 662.255      1056.74 662.029      0.510702 0.225546
1424.98 266.776      1423.82 266.9      1.15825 -0.123844
633.776 874.973      634.018 873.763      -0.242268 1.21001
1271.82 521.447      1271.27 521.377      0.553767 0.0701961
241.353 829.441      242.132 829.586      -0.783842 -0.145695
545.748 691.741      546.139 691.521      -0.390829 0.219398
-429.024 516.668      -428.005 517.038      -1.01844 -0.369804
390.442 581.496      390.794 581.557      -0.351203 -0.0605441
-192.302 665.701      -192.02 665.326      -0.282477 0.375401
-629.747 -175.003      -628.317 -173.807      -1.43001 -1.19538
-651.199 756.713      -649.699 756.387      -1.49968 0.3261
-919.458 856.478      -917.255 856.014      -2.20326 0.463547
675.259 171.715      674.866 172.102      0.393247 -0.384441
523.107 466.506      522.423 467.322      0.685269 -0.816013
915.636 1732.24      914.905 1730.88      0.730921 1.35621
1146.25 1149.14      1145.43 1148.34      0.827659 0.806608
-543.308 660.305      -541.854 660.104      -1.45357 0.201575
668.463 541.223      668.445 541.45      0.0182737 -0.226612
148.136 1344.51      148.941 1343.76      -0.804711 0.75267
-226.336 2052.66      -225.149 2050.62      -1.18666 2.04665
701.332 1115.13      701.294 1114.8      0.0385875 0.326288
280.554 460.452      280.927 460.768      -0.372415 -0.316274
453.657 430.113      454.04 430.791      -0.382565 -0.678184
88.2931 2401.5      89.1337 2399      -0.84061 2.49783
1739.28 1636.52      1737.5 1635.07      1.78769 1.45076
2359.7 671.108      2357.06 671.05      2.63976 0.0578605
1183.82 463.817      1183.11 463.974      0.709772 -0.157351
1880.06 527.149      1878.45 527.502      1.60541 -0.353221
1073.38 495.365      1073.34 495.767      0.0434152 -0.404239
775.827 1046.25      775.441 1046.13      0.386445 0.117697
948.639 458.71      947.468 459.561      1.16898 -0.850183
309.439 274.316      309.689 274.967      -0.24941 -0.651224
516.353 1204.05      516.114 1203.13      0.239257 0.926056
1980.01 434.112      1978.03 434.326      1.97152 -0.214144
1301.02 562.177      1300.08 562.006      0.94252 0.17107
1095.15 95.6653      1094.68 96.1696      0.478061 -0.503917
370.19 -82.7686      369.978 -81.2993      0.213193 -1.4724
222.725 -27.4291      222.735 -26.604      -0.010476 -0.825052
-1118.26 722.777      -1116.26 722.497      -1.99602 0.280259
22.2617 674.064      23.201 674.43      -0.939026 -0.366017
528.534 489.391      528.221 489.585      0.313389 -0.193942
60.6835 646.656      60.978 646.727      -0.294606 -0.0702468
672.687 -59.7498      671.976 -59.0245      0.710978 -0.724898
-197.345 1547.5      -196.609 1546.34      -0.736392 1.15562
348.264 688.493      347.851 688.936      0.4123 -0.442613
394.997 350.698      395.432 350.686      -0.434939 0.0124896
548.14 1290.05      547.948 1289.46      0.191042 0.581601
-566.245 1940.83      -564.698 1938.7      -1.54701 2.1294
619.027 550.932      619.353 550.813      -0.326752 0.119382
789.433 777.096      789.436 777.331      -0.00253457 -0.235131
41.1855 1349.87      41.8491 1349.16      -0.663566 0.710037
981.421 1376.37      981.057 1375.36      0.364091 1.00337
746.042 1043.11      746.174 1042.84      -0.132344 0.272268
496.234 382.958      496.62 383.565      -0.387357 -0.604958
371.642 564.81      371.882 565.072      -0.238548 -0.262336
1750.57 1305.69      1749.1 1304.93      1.47407 0.755164
237.393 436.063      237.796 435.711      -0.402554 0.352948
1110.54 960.109      1109.95 959.143      0.58751 0.96555
